ZTFID,class,category,evidence,strength
ZTF18aatlfus,SN IIP,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN IIP' not emittable by SNIascore,
ZTF18aaykjei,SN Ia-pec,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ia-pec' not emittable by SNIascore,
ZTF18aaxwjmp,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 290.70 < 1289.5,
ZTF18aaydmkh,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 284.82 < 1289.5,
ZTF18aazabmh,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 293.76 < 1289.5,
ZTF19aanbojt,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 572.70 < 1289.5,
ZTF18aazcuno,AGN,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'AGN' not emittable by SNIascore,
ZTF18aayidfz,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 288.70 < 1289.5,
ZTF18aaytovs,SN Ia-91T,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E3:type 'SN Ia-91T' not emittable by SNIascore,
ZTF18aazblzy,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 290.71 < 1289.5,
ZTF18aazixbw,SN Ia,UNRESOLVED (UNDEMONSTRATED),E1 not available: fetch not_attempted || E4:SN Ia in BTS explorer capture 2021-01-28T12:53:21 || E5:peakt 293.70 < 1289.5,
