c5_color,c5_color_error,c5_s1,c5_s1_error,c5_s2,c5_s2_error,c5_s3,c5_s3_error,c5_luminosity,c5_luminosity_error,c5_reference_time_error,c5_predicted_redshift,c5_predicted_redshift_error,c5_amplitude,unit,epoch
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.643675269434304,0.11188861,19.921179,0.28072992,0.25717777,206.09743,1505,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.478741281905222,0.25987172,19.921122,0.28073123,0.2571784,70.48465,1513,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.32791240028039,0.2265737,19.921162,0.28073084,0.2571783,154.08646,1518,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.472504251875925,0.2569191,19.921122,0.28073123,0.2571784,70.08078,1522,E1
-0.00935771,0.15779653,0.0072268937,0.9967185,0.00063117594,0.99191195,-0.012775069,0.9945981,-22.847083621924874,0.10615951,19.921112,0.28072983,0.25717762,624.3613,1526,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.97460233537202,0.33760387,19.921122,0.28073123,0.2571784,111.285416,1527,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-21.174210184493113,0.31687924,19.921122,0.28073123,0.2571784,133.74634,1535,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.90830333045617,0.32157427,19.921162,0.28073084,0.2571783,262.9788,1538,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-21.058327310957957,0.31733257,19.921122,0.28073123,0.2571784,120.20662,1545,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.920655320202265,0.18177606,19.921162,0.28073084,0.2571783,265.98758,1547,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.540150278487253,0.26329708,19.921122,0.28073123,0.2571784,74.58614,1568,E1
-0.00935836,0.15779701,0.007217305,0.99671364,0.0006319806,0.99191403,-0.012773806,0.99459213,-23.528396753643975,0.041168444,19.921112,0.28073183,0.25717837,1169.3759,1572,E1
-0.009357867,0.15779606,0.0072253887,0.99671644,0.0006317869,0.9919147,-0.012776198,0.99459887,-22.848840305656687,0.08147921,19.921137,0.28072917,0.25717685,625.3758,1583,E1
-0.009358114,0.1577962,0.007225098,0.99671674,0.0006274432,0.9919155,-0.012773594,0.99459714,-22.779125428138947,0.0729374,19.921131,0.28072968,0.25717732,586.4804,1586,E1
-0.0093585905,0.15779637,0.0072226394,0.9967152,0.00063893944,0.9919149,-0.012773579,0.99459285,-23.916566629723107,0.052768253,19.92113,0.28073007,0.25717658,1671.9692,1598,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.458439063161315,0.122531734,19.921154,0.28073055,0.25717756,173.77032,1608,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-20.51182407314524,0.19816801,19.921179,0.28072992,0.25717777,72.66614,1613,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-20.436314048120828,0.17937633,19.921179,0.28072992,0.25717777,67.78417,1620,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.522480429956765,0.12712416,19.921179,0.28072992,0.25717777,184.3293,1621,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.416643332570494,0.11635037,19.921154,0.28073055,0.25717756,167.20824,1626,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.86487638322358,0.33232856,19.921122,0.28073123,0.2571784,100.58835,1629,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-20.99339205131642,0.13226123,19.9212,0.28073105,0.25717875,113.22847,1639,E1
-0.009357568,0.15779656,0.0072209444,0.9967181,0.00063403696,0.9919145,-0.0127789695,0.9945979,-23.290763233689972,0.04917549,19.921143,0.28072914,0.25717655,939.52936,1643,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.956631125757546,0.11070913,19.921179,0.28072992,0.25717777,274.95096,1648,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.29126607743745,0.2614869,19.921122,0.28073123,0.2571784,59.30672,1650,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-20.470204422985468,0.26886508,19.921162,0.28073084,0.2571783,69.932816,1656,E1
-0.0093585905,0.15779637,0.0072226394,0.9967152,0.00063893944,0.9919149,-0.012773579,0.99459285,-23.285300989464318,0.05328276,19.92113,0.28073007,0.25717658,934.8075,1662,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.3620762246345,0.12343801,19.921179,0.28072992,0.25717777,159.0132,1666,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.05492633754954,0.18437102,19.921179,0.28072992,0.25717777,119.83206,1668,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.647202561413202,0.19948825,19.921162,0.28073084,0.2571783,206.76668,1674,E1
-0.00935836,0.15779701,0.007217305,0.99671364,0.0006319806,0.99191403,-0.012773806,0.99459213,-24.691488413189873,0.041980125,19.921112,0.28073183,0.25717837,3413.4265,1685,E1
-0.0093585905,0.15779637,0.0072226394,0.9967152,0.00063893944,0.9919149,-0.012773579,0.99459285,-21.82013299019674,0.06480238,19.92113,0.28073007,0.25717658,242.46822,1693,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.192633094141335,0.15216753,19.921179,0.28072992,0.25717777,136.03645,1694,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.88415586320405,0.3298555,19.921122,0.28073123,0.2571784,102.39058,1696,E1
-0.009357867,0.15779606,0.0072253887,0.99671644,0.0006317869,0.9919147,-0.012776198,0.99459887,-22.95976407274653,0.08014572,19.921137,0.28072917,0.25717685,692.6445,1707,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-20.972445548630873,0.15251322,19.9212,0.28073105,0.25717875,111.06475,1709,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-21.918707908250013,0.1582861,19.9212,0.28073105,0.25717875,265.5105,1718,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-21.469704264082957,0.30394143,19.921122,0.28073123,0.2571784,175.58174,1724,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.33242076809153,0.1607757,19.921179,0.28072992,0.25717777,154.72852,1729,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.777834961925898,0.19721866,19.921162,0.28073084,0.2571783,233.20242,1733,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-22.170823166881952,0.27501556,19.921162,0.28073084,0.2571783,334.9101,1734,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.172050895044656,0.18239908,19.921179,0.28072992,0.25717777,335.29166,1736,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.734917710338983,0.2998913,19.921162,0.28073084,0.2571783,224.16393,1742,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.562771866833124,0.20145796,19.921162,0.28073084,0.2571783,191.29701,1743,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-22.49306017265431,0.1560381,19.9212,0.28073105,0.25717875,450.63193,1746,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.798235129445494,0.12855726,19.921154,0.28073055,0.25717756,237.62613,1752,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.804962577173562,0.14017317,19.921179,0.28072992,0.25717777,239.10406,1757,E1
-0.009358881,0.15779682,0.0072231237,0.996717,0.00063512474,0.9919144,-0.012769835,0.99458927,-20.023371332564402,0.37291282,19.921122,0.28073123,0.2571784,46.338966,1759,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.235744895288796,0.10653533,19.921179,0.28072992,0.25717777,355.5496,1764,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-21.867312491990248,0.13767052,19.9212,0.28073105,0.25717875,253.2349,1768,E1
-0.0093579255,0.1577971,0.007217059,0.9967159,0.00063329935,0.991914,-0.012775941,0.99459106,-21.132277549363295,0.16509116,19.9212,0.28073105,0.25717875,128.67955,1770,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.825005600963983,0.18966255,19.921162,0.28073084,0.2571783,243.55746,1777,E1
-0.009358,0.15779684,0.0072240625,0.9967194,0.0006389767,0.9919126,-0.012773769,0.99459296,-21.720064353078307,0.111875296,19.921154,0.28073055,0.25717756,221.11873,1778,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-22.30068309119836,0.17017883,19.921162,0.28073084,0.2571783,377.46133,1782,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.07948024085656,0.30003673,19.921162,0.28073084,0.2571783,122.57186,1783,E1
-0.009358179,0.15779702,0.007217625,0.99671364,0.0006341338,0.991914,-0.012774138,0.99458957,-21.720568726574335,0.1957551,19.921162,0.28073084,0.2571783,221.22113,1784,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-21.582048835108132,0.19375883,19.921179,0.28072992,0.25717777,194.72517,1791,E1
-0.009358025,0.15779682,0.0072259326,0.99671894,0.00062984973,0.991914,-0.012775911,0.9945947,-22.17452281887278,0.09525368,19.921179,0.28072992,0.25717777,336.05612,1799,E1
